Frame number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_Foot Off,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,LPSI,,,RPSI,,,RANK,,,LTIB,,,LKNE,,,LTOE,,,LHEE,,,RKNE,,,LANK,,,RTIB,,,LTHI,,,RHEE,,,LASI,,,RASI,,,RTHI,,,RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.66,42.3566,-604.946,901.537,122.07,-613.244,902.852,202.087,-843.291,169.185,-66.0301,-327.515,227.326,-45.126,-337.492,464.076,12.7673,-170.001,35.8463,27.8925,-365.617,35.1147,245.843,-540.133,446.562,-12.5916,-306.227,58.131,270.399,-645.125,378.933,-65.9311,-355.345,559.36,137.157,-874.208,207.51,-27.0509,-385.606,883.13,230.867,-426.52,885.117,265.089,-513.432,611.786,176.25,-796.846,47.7495
1.67,41.2848,-592.343,903.167,121.082,-600.441,903.66,201.632,-826.336,178.77,-66.6275,-324.437,227.922,-46.2539,-329.477,464.657,13.0217,-169.637,35.4918,27.5675,-365.347,35.0792,247.658,-517.886,446.943,-12.4922,-305.85,57.9464,270.749,-624.226,382.995,-67.5152,-345.003,561.181,135.96,-853.602,218.594,-28.8504,-373.104,884.976,229.161,-413.524,887.011,265.497,-494.751,612.218,177.079,-788.124,53.8643
1.68,40.2542,-579.949,904.868,120.118,-587.833,904.591,201.015,-808.074,188.249,-67.21,-321.738,228.541,-47.3196,-322.351,465.101,13.1988,-169.392,35.2693,27.1968,-365.109,34.9336,249.4,-495.434,447.666,-12.3999,-305.689,57.7786,271.271,-602.379,386.786,-68.8186,-336.782,562.399,134.646,-832.396,228.94,-30.7093,-360.883,886.778,227.458,-400.702,889.084,265.864,-476.329,612.972,178.314,-776.763,60.9556
