Frame number,89
First frame,128
Point frequency,100
Analog frequency,1000

Left_Foot Strike,1.38
Right_Foot Off,1.52
Right_Foot Strike,2
Left_Foot Off,2.14

Time,LPSI,,,RPSI,,,RTOE,,,LHEE,,,LKNE,,,LTIB,,,RTIB,,,LANK,,,RTHI,,,LTHI,,,RANK,,,RKNE,,,RHEE,,,LTOE,,,RASI,,,LASI,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1.38,59.567,-1463.44,881.811,155.1,-1468.08,891.394,163.631,-1536.83,23.6064,80.6319,-1091.52,15.6475,-20.6687,-1204.82,420.362,-22.6409,-1125.62,197.929,256.545,-1585.06,312.105,26.4497,-1059.77,57.4487,302.484,-1404.2,644.879,-41.0502,-1256.34,562.478,182.334,-1667.14,78.3407,241.581,-1507.02,428.065,134.504,-1722.81,69.8777,42.7602,-926.835,89.3165,228.699,-1283,868.748,19.9677,-1275.59,883.389
1.39,58.8282,-1450.47,882.102,154.396,-1454.81,891.337,163.733,-1536.58,23.3758,80.4901,-1089,14.7566,-20.6738,-1191.58,421.01,-22.3425,-1117.03,197.23,256.4,-1577.52,314.476,26.6124,-1055.55,55.3529,301.416,-1392.69,644.448,-41.2992,-1241.88,563.449,183.376,-1664.86,82.017,240.852,-1497,428.702,135.554,-1720.63,75.2792,43.6206,-921.814,82.7834,227.842,-1269.84,868.074,19.2515,-1262.45,883.664
1.4,58.1943,-1437.46,882.64,153.818,-1441.39,891.431,163.805,-1536.34,23.0761,80.3103,-1087.18,14.2418,-20.7232,-1178.48,421.877,-22.0836,-1108.75,196.691,256.201,-1569.34,316.98,26.7523,-1051.93,53.4064,300.222,-1380.63,643.986,-41.5727,-1227.71,564.562,184.401,-1662.16,86.0283,240.094,-1486.2,429.273,136.478,-1717.84,81.1525,44.5544,-917.355,75.9943,226.872,-1256.54,867.577,18.453,-1249.27,884.197
1.41,57.648,-1424.41,883.418,153.351,-1427.87,891.667,163.837,-1536.11,22.7225,80.0888,-1085.78,14.1623,-20.8444,-1165.65,422.916,-21.8944,-1100.72,196.356,255.948,-1560.41,319.596,26.8667,-1048.69,51.7316,298.916,-1368.01,643.495,-41.9127,-1213.94,565.792,185.382,-1658.93,90.4154,239.324,-1474.51,429.738,137.226,-1714.31,87.5462,45.5992,-913.303,69.244,225.797,-1243.13,867.266,17.5815,-1236.1,884.985
1.42,57.1699,-1411.38,884.425,152.976,-1414.29,892.036,163.823,-1535.88,22.3523,79.8124,-1084.61,14.5034,-21.0624,-1153.19,424.084,-21.8056,-1092.9,196.244,255.654,-1550.61,322.294,26.9453,-1045.71,50.4019,297.515,-1354.84,642.979,-42.3524,-1200.65,567.118,186.297,-1655.06,95.2229,238.563,-1461.83,430.052,137.769,-1709.89,94.5072,46.7698,-909.581,62.7925,224.628,-1229.67,867.145,16.6469,-1222.93,886.021
1.43,56.7392,-1398.37,885.646,152.669,-1400.73,892.527,163.765,-1535.61,22.0297,79.4691,-1083.57,15.1923,-21.3993,-1141.21,425.338,-21.8408,-1085.32,196.345,255.338,-1539.81,325.038,26.9782,-1042.91,49.4409,296.037,-1341.13,642.437,-42.9125,-1187.83,568.529,187.137,-1650.41,100.497,237.835,-1448.07,430.173,138.102,-1704.42,102.079,48.0497,-906.178,56.8493,223.379,-1216.22,867.211,15.6594,-1209.82,887.288
1.44,56.3344,-1385.44,887.062,152.407,-1387.23,893.128,163.669,-1535.22,21.849,79.0562,-1082.6,16.1213,-21.8714,-1129.78,426.638,-22.0104,-1078.04,196.626,255.028,-1527.87,327.786,26.9607,-1040.32,48.832,294.498,-1326.91,641.865,-43.6013,-1175.49,570.013,187.902,-1644.86,106.281,237.165,-1433.16,430.063,138.248,-1697.77,110.297,49.3895,-903.121,51.5659,222.066,-1202.82,867.46,14.6296,-1196.77,888.765
1.45,55.9342,-1372.6,888.649,152.161,-1373.85,893.826,163.553,-1534.59,21.9343,78.582,-1081.71,17.1719,-22.4878,-1119,427.941,-22.3103,-1071.17,197.036,254.755,-1514.69,330.496,26.8931,-1037.94,48.5299,292.914,-1312.23,641.256,-44.4162,-1163.6,571.559,188.604,-1638.26,112.613,236.575,-1417.05,429.694,138.261,-1689.83,119.183,50.7165,-900.444,47.0351,220.704,-1189.54,867.882,13.568,-1183.82,890.427
1.46,55.5174,-1359.9,890.382,151.907,-1360.64,894.608,163.44,-1533.55,22.4313,78.0636,-1080.89,18.234,-23.2488,-1108.91,429.211,-22.726,-1064.81,197.515,254.549,-1500.18,333.126,26.7788,-1035.84,48.4721,291.297,-1297.14,640.6,-45.3445,-1152.14,573.15,189.26,-1630.51,119.512,236.082,-1399.7,429.054,138.217,-1680.51,128.737,51.9513,-898.171,43.2922,219.312,-1176.43,868.463,12.4851,-1170.99,892.239
1.47,55.0645,-1347.36,892.23,151.615,-1347.67,895.457,163.363,-1531.87,23.4934,77.5221,-1080.18,19.2183,-24.1476,-1099.57,430.413,-23.2391,-1059.05,198.007,254.438,-1484.29,335.641,26.622,-1034.03,48.5888,289.658,-1281.7,639.888,-46.3661,-1141.13,574.767,189.888,-1621.48,126.977,235.698,-1381.14,428.151,138.196,-1669.78,138.93,53.026,-896.305,40.317,217.905,-1163.54,869.189,11.3917,-1158.32,894.167
